"Symbol";"Value";"Unit";
"REFERENCE";"SIM8060-6-0-14-00-A";"";
"TraceParts.PartVersion";"1.0.7";"";
"SUPPLIER";"GCT";"";
"switch_position";"N/A";"";
"locating_peg";"Without locating peg";"";
"TraceParts.PartTitle";"SIM8060";"";
"DESIGN";"Nano SIM Card Connector, Hinged Type, 6 pins, Surface mount, 1.43mm Profile";"";
"TraceParts.PartNumber";"90-01072022-031908";"";
"TraceParts.PartLanguage";"en";"";
"profile";"1.43";"";
"TraceParts.InstanceId";"90-01072022-031908EKOSW75MM64R1TT2TZ1MRFBD3";"";
"switch";"Without Switch";"";
"style";"Hinged";"";
"polarisation";"1";"";
"contacts";"6";"";
"has_8_contacts";"0";"";
"TRACEPARTS";"TRACEPARTS";"";
"sim_card_type";"4FF";"";
"has_6_contacts";"1";"";
"mount_type";"Surface mount";"";
