"Symbol";"Value";"Unit";
"REFERENCE";"SIM8060-6-1-14-00-A";"";
"TraceParts.PartVersion";"1.0.7";"";
"SUPPLIER";"GCT";"";
"switch_position";"Normally Open";"";
"locating_peg";"Without locating peg";"";
"TraceParts.PartTitle";"SIM8060";"";
"DESIGN";"Nano SIM Card Connector, Hinged Type, 6 pins, Surface mount, 1.43mm Profile";"";
"TraceParts.PartNumber";"90-01072022-031908";"";
"TraceParts.PartLanguage";"en";"";
"profile";"1.43";"";
"TraceParts.InstanceId";"90-01072022-0319089ZKWEF4HCUUFKJJC7G84S5ZQK";"";
"switch";"With Switch";"";
"style";"Hinged";"";
"polarisation";"1";"";
"contacts";"6";"";
"has_8_contacts";"0";"";
"TRACEPARTS";"TRACEPARTS";"";
"sim_card_type";"4FF";"";
"has_6_contacts";"1";"";
"mount_type";"Surface mount";"";
